state,county,city,district
AR,DREW,WILMAR,
CA,KERN,CALIFORNIA CITY,
CA,SAN DIEGO,LEMON GROVE,
CA,SAN MATEO,COLMA,
CO,DOLORES,,Dove Creek Ambulance District
CO,EAGLE,,Eagle River Fire District
CO,LARIMER,,Berthoud FPD
CO,MONTEZUMA,,Cortez FPD
CO,WELD,,Frederick-Firestone FPD
CO,WELD,,Berthoud FPD
IA,MADISON,EARLHAM,
IL,BUREAU,ARLINGTON,
IL,BUREAU,BUREAU JUNCTION,
IL,BUREAU,DE PUE,
IL,BUREAU,DOVER,
IL,BUREAU,LADD,
IL,BUREAU,WYANET,
IL,COOK,BLUE ISLAND,
IL,COOK,KENILWORTH,
IL,DE WITT,FARMER CITY,
IL,DOUGLAS,NEWMAN,
IL,KANKAKEE,ST. ANNE,
IL,KNOX,KNOXVILLE,
IL,KNOX,WILLIAMSFIELD,
IL,LASALLE,TONICA,
IL,LIVINGSTON,CORNELL,
IL,MADISON,HAMEL,
IL,MADISON,TROY,
IL,MCHENRY,BULL VALLEY,
IL,MCHENRY,RICHMOND,
IL,MCHENRY,WONDER LAKE,
IL,MCLEAN,COLFAX,
IL,MCLEAN,DANVERS,
IL,MCLEAN,HUDSON,
IL,MORGAN,WOODSON,
IL,SALINE,HARRISBURG,
IL,ST. CLAIR,NEW ATHENS,
IL,TAZEWELL,DEER CREEK,
IL,TAZEWELL,MORTON,
IL,UNION,ANNA,
IL,WABASH,MOUNT CARMEL,
IL,WOODFORD,DEER CREEK,
IL,MCLEAN,,
IL,CLINTON,BREESE,Breese Janson Ford Business District
IL,EFFINGHAM,MONTROSE,Montrose Business District
IL,PEORIA,BARTONVILLE,Bartonville Business Development District No. 1
IL,ROCK ISLAND,ROCK ISLAND,Parkway I-280 Business District
KS,FINNEY,GARDEN CITY,Garden City 4-A's Properties CID
KS,JOHNSON,MISSION,Mission Mart CID
KS,JOHNSON,OVERLAND PARK,Overland Park Stanley Square CID
KS,JOHNSON,ROELAND PARK,Roeland Park The Rocks CID
KS,SHAWNEE,TOPEKA,Topeka South Topeka CID
LA,CADDO,HOSSTON,I-49 North Corridor Econ Dev District
LA,EAST BATON ROUGE,BATON ROUGE,Southern University EDD - City of Baton Rouge
LA,EAST BATON ROUGE,BATON ROUGE,Southern University EDD - EBR Parish
MN,POLK,EAST GRAND FORKS,
MN,RAMSEY,ROSEVILLE,
MO,BUCHANAN,SAINT JOSEPH,The Shoppes at North Village CID #2
MO,BUCHANAN,SAINT JOSEPH,The Shoppes at North Village CID #1
MO,JACKSON,KANSAS CITY,Kansas City Missouri District 11 PID
MO,JASPER,JOPLIN,Joplin Sports Facility CID
MO,SAINT LOUIS,CREVE COEUR,Olia Village TDD
MO,SAINT LOUIS,KIRKWOOD,Kirkwood City-Wide TDD
MO,SAINT LOUIS,UNIVERSITY CITY,711 and 717 Kingsland CID
OK,DELAWARE,CLEORA,
TX,FORT BEND ,,Houston/Fort Bend County Assistance District No. 4
TX,JIM WELLS,,Nueces-Jim Wells County Emergency Services District No. 5
TX,KAUFMAN,FORNEY,Forney Crime Control and Prevention District
TX,NUECES,,Nueces-Jim Wells County Emergency Services District No. 5
TX,TRAVIS ,,Buda/Travis County Emergency Services District No. 5-A
TX,WILLIAMSON,,Coupland/Williamson County Emergency Services District No. 10-A
VT,WASHINGTON,MONTPELIER,
VT,WINDSOR,HARTFORD,
VT,WINDSOR,LUDLOW,
VT,WINDHAM,MARLBORO,
WV,GILMER,GLENVILLE,
WV,MERCER,BRAMWELL,
WV,POCAHONTAS,MARLINTON,
WV,SUMMERS,HINTON,
WV,WYOMING,PINEVILLE,
